,No.,weight,temp,type,time_untouched,req_time
0,744,918,0.5053606992596287,0,0,6
1,470,8919,0.6,0,8,1
2,567,645,0.55,1,0,10
3,76,2298,0.5,1,17,0
4,211,6539,0.5,2,17,0
5,689,522,0.5053606992596287,1,5,1
6,459,1099,0.5053606992596287,0,1,8
7,264,1141,0.5053606992596287,0,4,6
8,163,427,0.6,2,9,1
9,154,9737,0.55,2,3,10
10,2,4251,0.55,2,0,7
11,731,588,0.5053606992596287,1,2,12
12,554,1201,0.5,0,10,1
13,968,937,0.5053606992596287,1,0,4
14,918,1319,0.5053606992596287,1,5,7
15,696,474,0.5053606992596287,2,0,8
16,303,8067,0.5053606992596287,1,2,3
17,601,876,0.5053606992596287,1,0,9
18,336,6981,0.5053606992596287,2,3,6
19,550,6131,0.5053606992596287,1,1,7
20,394,5207,0.5053606992596287,0,1,7
21,748,6249,0.55,2,2,6
22,145,6075,0.55,1,2,4
23,18,5703,0.55,2,2,4
24,534,8919,0.55,2,2,5
25,513,5577,0.55,0,1,9
26,139,7360,0.55,1,0,8
27,985,6084,0.55243185225897,1,5,6
28,198,6407,0.5053606992596287,1,0,6
29,767,4503,0.5053606992596287,1,0,6
30,729,5753,0.5053606992596287,2,2,8
31,102,4630,0.5294845426213011,2,3,4
32,850,5699,0.5294845426213011,2,0,11
33,210,6725,0.5294845426213011,0,0,9
34,52,7413,0.5294845426213011,0,1,8
35,168,5696,0.5294845426213011,1,2,7
36,502,4457,0.5294845426213011,2,6,6
37,329,6813,0.5294845426213011,2,1,8
38,40,5847,0.55,1,7,6
39,192,9362,0.55,0,5,1
40,481,7347,0.55,1,1,5
41,771,8680,0.55,0,1,9
42,128,8266,0.55,0,0,5
43,991,8787,0.55,1,1,5
44,271,5039,0.55,1,1,5
45,846,8462,0.6,2,0,9
46,461,9075,0.6,2,0,6
47,321,9637,0.6,2,0,4
48,913,5826,0.55243185225897,2,0,5
49,7,6336,0.5294845426213011,1,0,7
50,372,6798,0.5053606992596287,2,0,6
51,655,6275,0.5294845426213011,0,0,11
52,292,8495,0.5294845426213011,0,1,7
53,519,5953,0.5294845426213011,2,0,5
54,761,4889,0.55,0,0,8
55,376,5634,0.55,2,4,3
56,699,5532,0.55,0,0,3
57,129,7520,0.55,2,2,7
58,845,2807,0.55,2,6,6
59,179,9162,0.55,1,0,5
60,758,6996,0.55,2,0,9
61,596,7403,0.55,1,3,4
62,700,7462,0.55,1,0,7
63,442,9907,0.55,0,3,5
64,999,5856,0.55,1,1,8
65,998,5023,0.55,1,7,6
66,958,7841,0.55,2,1,3
67,680,8254,0.55,0,2,4
68,207,9799,0.55,0,1,5
69,826,5870,0.55243185225897,1,1,7
70,978,2172,0.55243185225897,2,6,4
71,794,9085,0.55243185225897,2,6,6
72,532,3897,0.6,1,2,7
73,694,8637,0.6,0,0,7
74,982,8348,0.6,1,1,7
75,559,5687,0.6,0,1,8
76,853,5322,0.6,0,3,7
77,650,9972,0.6,2,0,6
78,581,9857,0.6,1,4,9
79,789,6809,0.6,1,2,6
80,309,818,0.6,1,0,10
81,693,7449,0.6,1,2,6
