,No.,request,response
0,242,0,0.3831
1,559,0,0.5687
2,998,1,0.5023
3,920,0,0.9539
4,138,0,0.5611
5,939,0,0.8492
6,977,0,0.9156
7,768,0,0.9687
8,752,0,0.6739
9,473,0,0.1921
10,563,0,0.4181
11,996,0,0.5179
12,302,0,0.8083
13,932,0,0.9209
14,341,0,0.9502
15,467,0,0.8184
16,571,0,0.3513
17,851,1,0.4856
18,653,0,0.4954
19,429,0,0.3858
20,411,1,0.8597
21,306,1,0.238
22,119,0,0.8307
23,525,0,0.7926
24,775,0,0.9229
25,379,0,0.9743
26,562,0,0.886
27,745,1,0.7129
28,461,0,0.9075
29,508,1,0.4599
30,916,0,0.7762
31,433,0,0.6773
32,675,0,0.7537
33,244,0,0.6432
34,11,0,0.1475
35,107,0,0.6979
36,749,0,0.6727
37,793,1,0.3165
38,748,0,0.6249
39,464,0,0.6564
40,734,1,0.8938
41,535,0,0.5698
42,123,0,0.643
43,825,0,0.4921
44,350,0,0.1048
45,519,0,0.5953
46,585,1,0.3985
47,596,0,0.7403
48,660,0,0.6974
49,65,0,0.5869
50,833,0,0.2465
51,792,0,0.8608
52,962,0,0.5557
53,16,0,0.6348
54,406,0,0.7053
55,717,0,0.4816
56,305,0,0.7969
57,380,1,0.8292
58,98,0,0.5325
59,636,1,0.8118
60,770,0,0.581
61,257,0,0.821
62,128,1,0.8266
63,740,0,0.7088
64,285,1,0.6359
65,897,0,0.7979
66,384,0,0.7118
67,395,1,0.7222
68,225,0,0.404
69,316,0,0.8497
70,884,0,0.7168
71,493,0,0.5099
72,879,1,0.7141
73,746,1,0.4115
74,890,0,0.4143
75,581,0,0.9857
76,589,0,0.9099
77,106,0,0.377
78,912,0,0.723
79,64,0,0.6926
80,46,0,0.0644
81,113,0,0.7905
82,82,1,0.4137
83,502,0,0.4457
84,974,0,0.6998
85,730,0,0.7614
86,692,0,0.6249
87,28,1,0.6088
88,781,0,0.9403
89,626,1,0.5073
90,171,0,0.9151
91,782,0,0.3453
92,760,0,0.7401
93,297,0,0.8855
94,229,0,0.7009
95,155,0,0.6382
96,889,0,0.9566
97,348,0,0.7496
98,352,0,0.7776
99,809,1,0.4099
100,497,0,0.8112
101,690,0,0.5098
102,408,0,0.7059
103,545,1,0.3642
104,186,0,0.8065
105,823,0,0.2158
106,158,1,0.8778
107,469,0,0.4988
108,137,0,0.6046
109,205,0,0.661
110,930,0,0.7211
111,227,0,0.4578
112,980,0,0.4547
113,197,0,0.8437
114,434,0,0.5084
115,32,1,0.782
116,822,0,0.7093
117,988,0,0.6043
118,36,0,0.582
119,400,0,0.955
120,245,0,0.5474
121,614,1,0.6953
122,603,0,0.4665
123,238,0,0.3556
124,766,0,0.3621
125,982,1,0.8348
126,742,0,0.7597
127,875,0,0.9797
128,807,0,0.7068
129,509,0,0.4283
130,991,1,0.8787
131,489,0,0.5191
132,564,1,0.7722
133,237,0,0.427
134,885,0,0.7425
135,247,0,0.7573
136,534,0,0.8919
137,481,0,0.7347
138,957,0,0.4662
139,495,0,0.6515
140,780,0,0.5997
141,35,0,0.8455
142,893,0,0.8817
143,578,0,0.9626
144,168,0,0.5696
145,487,0,0.7986
146,767,0,0.4503
147,672,0,0.302
148,475,0,0.5913
149,944,1,0.5604
150,703,0,0.4758
151,276,0,0.63
152,789,1,0.6809
153,880,1,0.4779
154,511,0,0.0414
155,574,0,0.9423
156,569,1,0.9655
157,925,0,0.9063
158,61,0,0.8166
159,829,0,0.7081
160,444,0,0.5497
161,355,0,0.7906
162,325,0,0.9864
163,616,0,0.3464
164,579,0,0.926
165,608,0,0.691
166,900,0,0.8022
167,849,0,0.6628
168,86,1,0.4223
169,813,0,0.9464
170,157,1,0.8625
171,820,1,0.7992
172,886,1,0.4844
173,784,0,0.4524
174,694,0,0.8637
175,261,0,0.9877
176,572,1,0.4568
177,292,0,0.8495
178,283,0,0.8806
179,381,1,0.3692
180,860,0,0.8223
181,947,0,0.932
182,733,0,0.882
183,468,0,0.7254
184,769,1,0.7107
185,310,1,0.59
186,618,0,0.885
187,117,0,0.6033
188,584,0,0.4445
189,239,0,0.4261
190,531,0,0.7208
191,537,0,0.5832
192,756,1,0.4693
193,33,0,0.3622
194,622,0,0.9831
195,330,0,0.9762
196,372,1,0.6798
197,940,1,0.3194
198,259,1,0.9254
199,270,0,0.8974
200,676,0,0.311
201,850,1,0.5699
202,105,0,0.5651
203,802,0,0.5578
204,109,1,0.5525
205,90,0,0.8496
206,594,1,0.8553
207,627,0,0.8096
208,704,0,0.5486
209,167,0,0.8075
210,332,1,0.7217
211,404,0,0.791
212,111,1,0.9367
213,989,0,0.2646
214,590,0,0.6882
215,188,1,0.3464
216,515,0,0.6947
217,557,0,0.3526
218,402,0,0.0931
219,6,0,0.6079
220,826,0,0.587
221,556,0,0.4717
222,629,0,0.7607
223,948,0,0.5256
224,521,0,0.0748
225,960,0,0.0987
226,110,1,0.3603
227,899,0,0.4876
228,40,0,0.5847
229,358,0,0.6152
230,399,1,0.6298
231,818,0,0.3406
232,345,0,0.9314
233,552,0,0.6872
234,417,0,0.0582
235,737,0,0.9648
236,882,0,0.981
237,761,0,0.4889
238,671,0,0.7041
239,642,1,0.3758
240,678,1,0.7248
241,9,0,0.73
242,455,0,0.4271
243,650,0,0.9972
244,152,0,0.5546
245,915,1,0.4218
246,382,0,0.4692
247,192,0,0.9362
248,282,0,0.7649
249,873,1,0.3566
250,936,0,0.7079
251,54,0,0.1112
252,340,0,0.7731
253,706,0,0.9455
254,668,0,0.7659
255,95,0,0.5057
256,300,0,0.8775
257,4,0,0.9981
258,367,1,0.7309
259,896,1,0.5507
260,714,0,0.934
261,0,0,0.9713
262,992,1,0.3741
263,26,1,0.4161
264,970,0,0.9411
265,644,1,0.5689
266,658,1,0.3226
267,909,0,0.8083
268,691,1,0.7782
269,924,1,0.8166
270,207,1,0.9799
271,398,1,0.9624
272,131,0,0.4672
273,647,0,0.6546
274,576,1,0.4629
275,479,1,0.7141
276,212,0,0.8393
277,120,0,0.6779
278,776,0,0.8878
279,252,1,0.9419
280,662,0,0.8809
