No.,request,response
624,0,0.8596
906,0,0.702
134,0,0.8976
712,0,0.9186
320,0,0.4718
667,0,0.6564
972,0,0.5357
661,0,0.3576
419,0,0.5275
142,0,0.8362
159,0,0.759
75,0,0.3405
911,1,0.5766
687,0,0.783
837,0,0.7336
47,0,0.5978
265,1,0.8352
230,0,0.0997
990,0,0.4379
328,1,0.1366
923,0,0.8312
977,0,0.9156
563,0,0.4181
996,0,0.5179
586,0,0.1172
775,0,0.9229
141,0,0.2287
779,0,0.2104
107,0,0.6979
734,1,0.8938
66,0,0.3074
792,1,0.8608
16,1,0.6348
98,0,0.5325
506,1,0.2629
636,0,0.8118
128,0,0.8266
344,1,0.0798
648,0,0.2382
879,0,0.7141
580,0,0.3046
730,0,0.7614
126,0,0.7202
441,0,0.5546
348,0,0.7496
809,1,0.4099
48,1,0.3731
690,0,0.5098
545,1,0.3642
425,0,0.284
929,0,0.2355
36,0,0.582
245,0,0.5474
238,0,0.3556
420,0,0.1135
742,0,0.7597
509,0,0.4283
991,0,0.8787
564,0,0.7722
288,0,0.0216
304,1,0.1489
780,0,0.5997
168,1,0.5696
828,0,0.2399
276,0,0.63
574,0,0.9423
61,1,0.8166
942,0,0.144
886,0,0.4844
784,0,0.4524
387,0,0.046
468,1,0.7254
310,0,0.59
117,0,0.6033
756,0,0.4693
330,0,0.9762
109,0,0.5525
90,1,0.8496
627,1,0.8096
704,0,0.5486
696,1,0.0474
111,1,0.9367
135,0,0.0099
754,0,0.0201
605,1,0.1811
818,0,0.3406
881,0,0.275
282,1,0.7649
116,0,0.0533
4,0,0.9981
174,0,0.2073
26,0,0.4161
207,0,0.9799
398,1,0.9624
479,1,0.7141
212,1,0.8393
37,1,0.2219
662,0,0.8809
610,0,0.8011
542,0,0.5954
943,1,0.5923
654,1,0.715
213,0,0.2389
58,0,0.3488
311,1,0.333
454,1,0.1527
12,1,0.9542
724,1,0.4664
817,0,0.8018
177,0,0.0075
315,0,0.4717
723,1,0.4928
421,1,0.9188
393,1,0.9615
621,0,0.8103
70,1,0.9981
228,1,0.3759
763,0,0.895
895,0,0.3425
44,0,0.473
609,0,0.9858
38,0,0.9784
452,1,0.1616
546,0,0.361
986,1,0.5055
19,0,0.4667
153,0,0.8555
415,0,0.7226
271,0,0.5039
13,0,0.2559
512,0,0.3351
937,0,0.9868
143,0,0.3313
619,1,0.4282
877,1,0.3303
289,0,0.3404
523,0,0.3752
908,0,0.6529
200,0,0.5232
414,0,0.6707
913,1,0.5826
732,1,0.2177
394,1,0.5207
954,0,0.3532
476,0,0.0004
883,1,0.9678
686,1,0.9449
287,0,0.6161
5,0,0.1689
917,1,0.4373
632,0,0.4853
819,0,0.4901
835,0,0.8165
201,0,0.1187
646,0,0.2641
91,0,0.0858
67,0,0.4744
323,1,0.8995
727,0,0.2613
216,0,0.2547
530,0,0.9792
372,1,0.6798
97,0,0.2085
536,0,0.2043
500,0,0.1616
382,1,0.4692
838,0,0.8281
195,1,0.447
975,0,0.2077
405,0,0.5302
236,1,0.0347
497,0,0.8112
952,0,0.0874
907,0,0.182
472,0,0.0499
611,1,0.7751
114,1,0.0579
928,0,0.0524
762,0,0.7071
559,1,0.5687
814,0,0.5057
805,1,0.4235
244,0,0.6432
233,0,0.2988
30,0,0.9649
673,1,0.8569
592,0,0.1998
684,0,0.7538
956,0,0.2604
460,1,0.1404
237,0,0.427
76,0,0.2298
339,0,0.0685
60,0,0.0745
583,0,0.8339
208,0,0.2646
410,0,0.1729
448,1,0.916
804,0,0.3005
392,0,0.4712
399,0,0.6298
655,0,0.6275
905,0,0.7616
874,0,0.3826
691,0,0.7782
976,0,0.0909
119,0,0.8307
720,0,0.9228
660,0,0.6974
56,1,0.2891
186,0,0.8065
535,0,0.5698
579,0,0.926
871,1,0.5097
922,0,0.8714
313,1,0.2375
858,0,0.7711
511,1,0.0414
417,0,0.0582
653,0,0.4954
657,0,0.4695
971,0,0.4098
934,0,0.9775
677,0,0.3557
912,1,0.723
863,0,0.5033
278,0,0.3714
587,1,0.3653
316,0,0.8497
171,1,0.9151
446,0,0.1363
349,0,0.1533
588,0,0.7556
338,0,0.8738
470,0,0.8919
670,1,0.9588
33,0,0.3622
368,0,0.3491
939,0,0.8492
628,0,0.0038
260,0,0.5695
32,0,0.782
639,1,0.6419
121,1,0.1429
872,0,0.1653
193,0,0.7946
787,0,0.5096
573,0,0.3284
854,0,0.0731
995,0,0.3831
839,0,0.6544
10,0,0.2607
649,0,0.6318
515,0,0.6947
501,0,0.9698
901,0,0.623
918,0,0.1319
485,1,0.5398
206,0,0.7136
290,0,0.3334
192,1,0.9362
642,0,0.3758
157,0,0.8625
6,0,0.6079
147,1,0.4765
461,0,0.9075
459,1,0.1099
622,0,0.9831
778,0,0.2094
471,0,0.1096
887,0,0.6048
577,0,0.1207
164,0,0.6506
836,1,0.4617
180,0,0.9664
389,0,0.9127
406,0,0.7053
537,0,0.5832
669,0,0.3178
527,0,0.1966
492,0,0.7414
949,0,0.6092
378,0,0.5466
761,0,0.4889
634,0,0.4303
1,0,0.5217
155,0,0.6382
232,1,0.0569
520,0,0.7641
331,0,0.3983
825,0,0.4921
689,0,0.0522
566,0,0.1267
35,0,0.8455
14,0,0.7142
264,1,0.1141
118,1,0.3403
849,0,0.6628
997,0,0.9451
27,0,0.4419
593,1,0.8985
681,0,0.8682
488,0,0.2332
18,0,0.5703
305,0,0.7969
418,0,0.3016
745,0,0.7129
866,0,0.4313
390,0,0.9414
808,0,0.6324
728,0,0.4243
679,0,0.1975
115,1,0.6016
859,0,0.3447
85,0,0.9809
326,0,0.7555
243,0,0.121
