,No.,weight,temp,type,time_untouched,req_time
0,570,2685,0.5,2,18,0
1,189,9333,0.45000000000000007,1,18,0
2,99,3219,0.35,1,18,0
3,267,7595,0.30000000000000004,2,18,0
4,949,6092,0.35,0,18,0
5,308,9615,0.4,0,18,0
6,34,6423,0.4,2,18,0
7,969,572,0.45000000000000007,1,18,0
8,482,5597,0.35,2,18,0
9,195,4470,0.30000000000000004,0,18,0
10,753,2103,0.4,0,18,0
11,902,2278,0.35,2,18,0
12,839,6544,0.5,1,18,0
13,79,9584,0.35,2,18,0
14,993,167,0.30000000000000004,0,18,0
15,450,2263,0.30000000000000004,0,18,0
16,639,6419,0.30000000000000004,1,18,0
17,772,3001,0.45000000000000007,1,18,0
18,633,2040,0.35,0,18,0
19,861,296,0.30000000000000004,1,18,0
20,593,8985,0.45000000000000007,2,18,0
21,598,9740,0.5,0,18,0
22,299,1263,0.35,0,18,0
23,787,5096,0.4,2,18,0
24,89,958,0.45000000000000007,0,18,0
25,121,1429,0.30000000000000004,2,18,0
26,795,3263,0.35,0,18,0
27,17,70,0.5,2,18,0
28,863,5033,0.4,2,18,0
29,419,5275,0.5,0,18,0
30,159,7590,0.5,1,18,0
31,75,3405,0.35,1,18,0
32,235,5193,0.30000000000000004,0,18,0
33,175,83,0.35,2,18,0
34,657,4695,0.4,2,18,0
35,803,7016,0.30000000000000004,1,18,0
36,659,4409,0.4,1,18,0
37,566,1267,0.4,1,18,0
38,837,7336,0.45000000000000007,1,18,0
39,47,5978,0.45000000000000007,1,15,3
40,447,9065,0.4,2,18,0
41,160,3505,0.5,1,18,0
42,55,7713,0.35,1,18,0
43,715,8062,0.45000000000000007,2,18,0
44,951,8599,0.45000000000000007,1,18,0
45,524,7256,0.30000000000000004,1,18,0
46,530,9792,0.4,1,18,0
47,230,997,0.5,1,18,0
48,990,4379,0.5,0,18,0
49,628,38,0.45000000000000007,1,18,0
50,190,6096,0.35,1,18,0
51,338,8738,0.5,1,16,2
52,333,8585,0.30000000000000004,0,18,0
53,286,9410,0.35,0,18,0
54,328,1366,0.4,0,18,0
55,422,6752,0.4,0,18,0
56,431,4009,0.4,0,18,0
57,800,1362,0.4,2,18,0
58,577,1207,0.55,2,0,7
59,920,9539,0.45000000000000007,0,18,0
60,74,4957,0.30000000000000004,0,18,0
61,260,5695,0.35,1,18,0
62,349,1533,0.45000000000000007,0,18,0
63,801,630,0.45000000000000007,1,18,0
64,939,8492,0.35,2,18,0
65,768,9687,0.4,2,18,0
66,752,6739,0.30000000000000004,2,18,0
67,473,1921,0.30000000000000004,1,18,0
68,996,5179,0.6,2,0,5
69,617,1908,0.4,1,18,0
70,302,8083,0.5,0,18,0
71,932,9209,0.5,1,18,0
