,No.,request,response
0,800,0,0.1362
1,242,0,0.3831
2,559,0,0.5687
3,998,0,0.5023
4,920,0,0.9539
5,74,1,0.4957
6,260,0,0.5695
7,801,0,0.063
8,939,0,0.8492
9,977,1,0.9156
10,768,0,0.9687
11,752,0,0.6739
12,563,0,0.4181
13,996,0,0.5179
14,617,0,0.1908
15,302,0,0.8083
16,932,1,0.9209
17,277,0,0.2823
18,341,0,0.9502
19,467,1,0.8184
20,571,0,0.3513
21,460,0,0.1404
22,851,0,0.4856
23,653,0,0.4954
24,429,0,0.3858
25,411,0,0.8597
26,119,0,0.8307
27,525,0,0.7926
28,775,0,0.9229
29,379,0,0.9743
30,562,0,0.886
31,634,0,0.4303
32,745,0,0.7129
33,488,0,0.2332
34,461,0,0.9075
35,508,1,0.4599
36,916,0,0.7762
37,865,0,0.3575
38,433,0,0.6773
39,675,1,0.7537
40,764,0,0.3769
41,244,1,0.6432
42,11,0,0.1475
43,779,0,0.2104
44,416,0,0.5236
45,107,0,0.6979
46,749,0,0.6727
47,824,0,0.2287
48,97,0,0.2085
49,748,0,0.6249
50,464,0,0.6564
51,734,0,0.8938
52,535,0,0.5698
53,123,0,0.643
54,825,0,0.4921
55,66,0,0.3074
56,350,0,0.1048
57,519,0,0.5953
58,585,0,0.3985
59,596,0,0.7403
60,660,0,0.6974
61,65,0,0.5869
62,517,0,0.1038
63,833,0,0.2465
64,68,0,0.0371
65,792,0,0.8608
66,248,1,0.6551
67,962,1,0.5557
68,16,0,0.6348
69,406,0,0.7053
70,717,0,0.4816
71,477,0,0.1926
72,305,0,0.7969
73,380,0,0.8292
74,98,0,0.5325
75,636,0,0.8118
76,770,0,0.581
77,257,1,0.821
78,128,0,0.8266
79,344,0,0.0798
80,740,1,0.7088
81,285,1,0.6359
82,897,1,0.7979
83,384,0,0.7118
84,395,0,0.7222
85,225,0,0.404
86,316,0,0.8497
87,613,0,0.2724
88,884,0,0.7168
89,56,0,0.2891
90,493,0,0.5099
91,879,0,0.7141
92,746,0,0.4115
93,356,1,0.766
94,890,0,0.4143
95,294,0,0.6128
96,841,0,0.0435
97,581,0,0.9857
98,589,0,0.9099
99,106,0,0.377
100,912,0,0.723
101,64,0,0.6926
102,637,0,0.2513
103,113,0,0.7905
104,82,0,0.4137
105,502,0,0.4457
106,974,0,0.6998
107,103,0,0.5313
108,580,0,0.3046
109,730,0,0.7614
110,692,1,0.6249
111,28,1,0.6088
112,781,1,0.9403
113,626,0,0.5073
114,266,0,0.6186
115,126,0,0.7202
116,171,1,0.9151
117,176,0,0.0537
118,441,0,0.5546
119,938,0,0.1523
120,782,0,0.3453
121,760,0,0.7401
122,297,0,0.8855
123,229,0,0.7009
124,155,0,0.6382
125,759,0,0.4046
126,889,0,0.9566
127,348,0,0.7496
128,352,0,0.7776
129,809,0,0.4099
130,48,0,0.3731
131,903,0,0.0643
132,497,1,0.8112
133,690,0,0.5098
134,408,0,0.7059
135,186,1,0.8065
136,439,0,0.2349
137,995,0,0.3831
138,158,0,0.8778
139,469,0,0.4988
140,425,0,0.284
141,137,1,0.6046
142,205,0,0.661
143,930,0,0.7211
144,227,0,0.4578
145,418,0,0.3016
146,980,1,0.4547
147,197,0,0.8437
148,434,0,0.5084
149,32,0,0.782
150,528,0,0.0213
151,822,0,0.7093
152,926,0,0.2706
153,988,0,0.6043
154,36,0,0.582
155,400,0,0.955
156,245,0,0.5474
157,614,1,0.6953
158,603,1,0.4665
159,238,0,0.3556
160,583,1,0.8339
161,805,0,0.4235
162,982,1,0.8348
163,742,0,0.7597
164,875,0,0.9797
165,807,0,0.7068
166,203,0,0.2464
167,241,0,0.4661
168,509,0,0.4283
169,991,0,0.8787
170,489,1,0.5191
171,564,0,0.7722
172,237,0,0.427
173,885,0,0.7425
174,247,0,0.7573
175,485,0,0.5398
176,288,0,0.0216
177,534,0,0.8919
178,481,0,0.7347
179,304,0,0.1489
180,957,0,0.4662
181,495,0,0.6515
182,780,0,0.5997
183,73,1,0.348
184,35,0,0.8455
185,893,0,0.8817
186,578,0,0.9626
187,168,0,0.5696
188,487,0,0.7986
189,828,0,0.2399
190,767,0,0.4503
191,672,0,0.302
192,475,0,0.5913
193,944,0,0.5604
194,703,0,0.4758
195,276,0,0.63
196,789,0,0.6809
197,880,0,0.4779
198,486,0,0.2892
199,574,0,0.9423
200,569,0,0.9655
201,925,0,0.9063
202,640,0,0.3482
203,876,0,0.0793
204,61,1,0.8166
205,829,1,0.7081
206,444,0,0.5497
207,355,0,0.7906
208,942,0,0.144
209,325,1,0.9864
210,941,0,0.0604
211,579,1,0.926
212,432,0,0.1073
213,816,0,0.0608
214,608,0,0.691
215,900,0,0.8022
216,849,0,0.6628
217,86,0,0.4223
218,813,1,0.9464
219,157,0,0.8625
220,820,0,0.7992
221,886,0,0.4844
222,29,0,0.5533
223,784,1,0.4524
224,694,0,0.8637
225,261,0,0.9877
226,572,1,0.4568
227,483,0,0.7322
228,292,1,0.8495
229,283,0,0.8806
230,381,0,0.3692
231,976,0,0.0909
232,860,0,0.8223
233,947,0,0.932
234,733,0,0.882
235,468,0,0.7254
236,769,1,0.7107
237,310,0,0.59
238,618,1,0.885
239,117,0,0.6033
240,584,0,0.4445
241,239,0,0.4261
242,531,0,0.7208
243,537,0,0.5832
244,756,0,0.4693
245,622,1,0.9831
246,330,0,0.9762
247,372,0,0.6798
248,259,0,0.9254
249,270,1,0.8974
250,676,0,0.311
251,850,0,0.5699
252,105,1,0.5651
253,802,0,0.5578
254,109,0,0.5525
255,90,0,0.8496
256,594,0,0.8553
257,627,0,0.8096
258,222,0,0.0208
259,704,0,0.5486
260,167,0,0.8075
261,332,0,0.7217
262,404,0,0.791
263,111,0,0.9367
264,645,0,0.4882
265,989,0,0.2646
266,590,0,0.6882
267,438,0,0.1573
268,188,0,0.3464
269,607,0,0.4702
270,515,1,0.6947
271,557,0,0.3526
272,402,0,0.0931
273,6,0,0.6079
274,135,0,0.0099
275,826,0,0.587
276,556,1,0.4717
277,605,0,0.1811
278,874,0,0.3826
279,629,0,0.7607
280,948,0,0.5256
281,219,0,0.5795
282,110,0,0.3603
283,899,0,0.4876
284,40,0,0.5847
285,358,0,0.6152
286,399,0,0.6298
287,818,0,0.3406
288,345,0,0.9314
289,552,1,0.6872
290,737,0,0.9648
291,882,1,0.981
292,761,0,0.4889
293,671,0,0.7041
294,642,0,0.3758
295,69,0,0.0852
296,678,0,0.7248
297,57,0,0.3212
298,9,0,0.73
299,606,0,0.0727
300,42,0,0.5963
301,455,0,0.4271
302,650,0,0.9972
303,152,1,0.5546
304,915,0,0.4218
305,382,1,0.4692
306,192,0,0.9362
307,282,0,0.7649
308,560,0,0.4194
309,873,0,0.3566
310,936,0,0.7079
311,351,0,0.1833
312,709,0,0.3095
313,340,0,0.7731
314,979,0,0.3029
315,706,0,0.9455
316,118,0,0.3403
317,668,0,0.7659
318,94,0,0.2423
319,95,0,0.5057
